benchmark,monitor,repetition,time,status
100_1_frz_current_10_20_1_100000_int,staticmon,0,1.2436e-2,ok
100_1_frz_current_10_20_1_100000_int,monpoly,0,7.753e-3,ok
100_1_frz_once_10_20_1_100000_int,staticmon,0,1.4796e-2,ok
100_1_frz_once_10_20_1_100000_int,monpoly,0,1.1476e-2,ok
100_1_frz_once_inf_20_1_100000_int,staticmon,0,2.234e-2,ok
100_1_frz_once_inf_20_1_100000_int,monpoly,0,1.7895e-2,ok
100_1_frz_since_10_20_1_100000_int,staticmon,0,1.0315e-2,ok
100_1_frz_since_10_20_1_100000_int,monpoly,0,1.4339e-2,ok
100_1_frz_eventually_10_20_1_100000_int,staticmon,0,2.8419e-2,ok
100_1_frz_eventually_10_20_1_100000_int,monpoly,0,3.9816e-2,ok
100_1_frz_nested_10_20_1_100000_int,staticmon,0,2.6036e-2,ok
100_1_frz_nested_10_20_1_100000_int,monpoly,0,7.3999e-2,ok
200_1_frz_current_10_20_1_100000_int,staticmon,0,1.3532e-2,ok
200_1_frz_current_10_20_1_100000_int,monpoly,0,1.0036e-2,ok
200_1_frz_once_10_20_1_100000_int,staticmon,0,1.575e-2,ok
200_1_frz_once_10_20_1_100000_int,monpoly,0,1.6031e-2,ok
200_1_frz_once_inf_20_1_100000_int,staticmon,0,4.1531e-2,ok
200_1_frz_once_inf_20_1_100000_int,monpoly,0,4.021e-2,ok
200_1_frz_since_10_20_1_100000_int,staticmon,0,1.8925e-2,ok
200_1_frz_since_10_20_1_100000_int,monpoly,0,2.7997e-2,ok
200_1_frz_eventually_10_20_1_100000_int,staticmon,0,5.5802e-2,ok
200_1_frz_eventually_10_20_1_100000_int,monpoly,0,0.115942,ok
200_1_frz_nested_10_20_1_100000_int,staticmon,0,3.7802e-2,ok
200_1_frz_nested_10_20_1_100000_int,monpoly,0,0.278691,ok
400_1_frz_current_10_20_1_100000_int,staticmon,0,1.6201e-2,ok
400_1_frz_current_10_20_1_100000_int,monpoly,0,1.3339e-2,ok
400_1_frz_once_10_20_1_100000_int,staticmon,0,2.2444e-2,ok
400_1_frz_once_10_20_1_100000_int,monpoly,0,2.4344e-2,ok
400_1_frz_once_inf_20_1_100000_int,staticmon,0,0.107069,ok
400_1_frz_once_inf_20_1_100000_int,monpoly,0,0.127336,ok
400_1_frz_since_10_20_1_100000_int,staticmon,0,2.6286e-2,ok
400_1_frz_since_10_20_1_100000_int,monpoly,0,4.6383e-2,ok
400_1_frz_eventually_10_20_1_100000_int,staticmon,0,0.150478,ok
400_1_frz_eventually_10_20_1_100000_int,monpoly,0,0.47462,ok
400_1_frz_nested_10_20_1_100000_int,staticmon,0,5.8396e-2,ok
400_1_frz_nested_10_20_1_100000_int,monpoly,0,1.171269,ok
800_1_frz_current_10_20_1_100000_int,staticmon,0,1.9232e-2,ok
800_1_frz_current_10_20_1_100000_int,monpoly,0,1.8282e-2,ok
800_1_frz_once_10_20_1_100000_int,staticmon,0,3.0857e-2,ok
800_1_frz_once_10_20_1_100000_int,monpoly,0,3.928e-2,ok
800_1_frz_once_inf_20_1_100000_int,staticmon,0,0.361326,ok
800_1_frz_once_inf_20_1_100000_int,monpoly,0,0.497062,ok
800_1_frz_since_10_20_1_100000_int,staticmon,0,3.9542e-2,ok
800_1_frz_since_10_20_1_100000_int,monpoly,0,8.0822e-2,ok
800_1_frz_eventually_10_20_1_100000_int,staticmon,0,0.512071,ok
800_1_frz_eventually_10_20_1_100000_int,monpoly,0,1.762889,ok
800_1_frz_nested_10_20_1_100000_int,staticmon,0,9.7032e-2,ok
800_1_frz_nested_10_20_1_100000_int,monpoly,0,5.594324,ok
